TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DUE_DATE,DUE_DATE_LANG
section,1️⃣ Estate Discovery & Current-State Assessment,,,,,,
task,Inventory all application components: services, background jobs, scheduled tasks, and batch processes,1,1,,,,,
task,Inventory all integrations, certificates, file shares, and environment-specific configuration,1,1,,,,,
task,Map all server-to-server and app-to-app dependencies,1,1,,,,,
task,Identify IIS dependencies, Windows-only dependencies, COM components, and GAC assemblies,1,1,,,,,
task,Identify registry usage, local disk dependencies, and tightly coupled infrastructure assumptions,1,1,,,,,
task,Assess SQL Server estate: version, database size, SQL Agent jobs, linked servers, and CLR usage,1,1,,,,,
task,Identify SSIS, SSRS, or replication usage in SQL Server,2,1,,,,,
task,Profile SQL Server performance: query patterns, indexing, storage growth, and HA/DR requirements,1,1,,,,,
task,Capture non-functional requirements: uptime, RTO/RPO, latency, throughput, scaling, and data residency,1,1,,,,,
task,Run Azure Migrate to assess servers and dependencies,1,1,,,,,
task,Run App Service migration assessment for ASP.NET application,1,1,,,,,
task,Run Azure SQL Database or Managed Instance readiness assessment,1,1,,,,,
task,Document current-state architecture summary,1,1,,,,,
task,Produce dependency map from discovery findings,1,1,,,,,
section,2️⃣ Migration Strategy Decisions,,,,,,
task,Determine migration strategy for each component: rehost, replatform, or refactor/modernise,1,1,,,,,
task,Decide backend strategy: keep .NET Framework short term or modernise to modern .NET as part of move,1,1,,,,,
task,Decide frontend strategy: minimal change vs modernise build/deploy/runtime approach,1,1,,,,,
task,Decide database target: Azure SQL Database vs Azure SQL Managed Instance vs SQL Server on Azure VM,1,1,,,,,
task,Decide networking model: public internet exposure vs private access patterns,1,1,,,,,
task,Decide authentication approach: retain existing model or migrate to Microsoft Entra ID,1,1,,,,,
task,Decide backend hosting target: App Service vs containers vs AKS vs VM-based lift-and-shift,1,1,,,,,
task,Document and justify each platform choice against Azure Well-Architected Framework,1,1,,,,,
section,3️⃣ Backend Assessment (.NET Framework 4.6),,,,,,
task,Confirm .NET Framework and NuGet package compatibility with target hosting platform,1,1,,,,,
task,Identify blockers to running in Azure App Service or containers,1,1,,,,,
task,Determine whether application can remain on .NET Framework short term or requires immediate upgrade,1,1,,,,,
task,Identify code assuming local machine state, file system access, or Windows identity,1,1,,,,,
task,Identify machine certificate, IIS module, and synchronous long-running process usage,1,1,,,,,
task,Review config transforms, machine.config assumptions, and current secret handling,1,1,,,,,
task,Identify opportunities to externalise configuration into Azure App Configuration,2,1,,,,,
task,Identify secrets and certificates to migrate into Azure Key Vault,1,1,,,,,
task,Assess whether authentication/authorisation can be integrated with Microsoft Entra ID,1,1,,,,,
task,Determine whether background tasks should move to Functions, WebJobs, or messaging-based workers,2,1,,,,,
